"cell_id","M","N","K","P","b_max","R","r_deloc","r_deloc_sd","coverage","se_sd_ratio","emp_sd_mean","ana_se_mean","cc_min_mean","rmse_recover","boot_se_ratio"
1,2000,200,5,4,0.1,60,5.41711604393028,0.762596487245873,0.964583333333333,1.08034001455591,0.0143977321080162,0.0149927268497207,0.120666334744203,0.0367274412735079,NA
2,2000,200,5,4,0.25,60,5.69775916315741,0.942862235775753,0.953125,0.996674969517592,0.010951726813204,0.0110897089022432,0.0699537892375358,0.029295479970188,1.02181350325435
3,2000,200,5,4,0.5,60,6.17512590750051,0.876565313907869,0.965625,1.02525348812403,0.00915460488952324,0.00935873813913287,0.727528764859931,0.0238722919795348,NA
4,2000,200,5,4,0.75,60,6.14973982073475,1.0418825397571,0.955208333333333,0.986713181805799,0.00922484355720666,0.00915667034198224,0.837434478777901,0.0440147388635698,NA
5,2000,200,5,4,1,60,6.1813970530833,0.856719315076235,0.953125,1.07506205772649,0.00998539496304041,0.0101372984478051,0.439907970585774,0.0414484559637586,NA
6,2000,200,5,4,1.5,60,5.98058235237749,0.650872735972566,0.955208333333333,0.987561979131474,0.00989960026089732,0.00991007114537618,0.614391790757341,0.176481671949671,0.999212638673884
7,2000,200,5,4,2,60,5.62698299954682,0.744483555448615,0.951041666666667,0.987659353392049,0.0105183015907667,0.01054580266262,0.388411945922493,0.181517154826365,NA
8,500,200,5,4,0.25,50,4.47532154965124,0.622951050806991,0.94625,0.986824988504393,0.0217353057470625,0.0215561242096665,0.253224481493101,0.0208015605757733,NA
9,500,200,5,4,1,50,4.18334096585005,0.585212420022054,0.95375,0.999139696592912,0.0194954190056826,0.0195783712437707,0.724654256786237,0.0695436068685795,NA
10,500,500,5,4,0.25,50,4.46483009421514,0.595108680489676,0.9575,1.02799542748455,0.0209948772375172,0.0215249200884817,0.100017765972547,0.016570810887378,NA
11,500,500,5,4,1,50,4.20471117259392,0.66681154024188,0.95375,0.96562086577336,0.0199529202929466,0.0195746726418856,0.598751556127088,0.0186150849671546,NA
12,2000,200,5,4,0.25,50,5.609263081939,1.28692000651473,0.95375,1.04147286609757,0.0119983667294823,0.0121827598012932,0.184751918649912,0.0311374053419282,NA
13,2000,200,5,4,1,50,5.85040294609805,0.82312211120146,0.94375,0.991053401137303,0.0106511305301362,0.0104039398425085,0.382470407997436,0.0974106010207923,NA
14,2000,500,5,4,0.25,50,5.29540650843881,0.599746455250774,0.965,1.11328388944005,0.0105907319114158,0.0115991033115417,0.156828412260263,0.0198503578085385,NA
15,2000,500,5,4,1,50,5.78103331718043,0.723114971126676,0.9575,1.03518724964975,0.00984695783647866,0.010294372862327,0.540201002149692,0.0591275573824393,NA
16,500,200,8,4,0.25,50,4.61671477938771,1.06215036755809,0.958571428571429,1.0615165575813,0.0102036823417848,0.0108566122373255,0.221040088391835,0.0149501090306012,NA
17,500,200,8,4,1,50,5.39881206082747,0.915518426570016,0.94,0.959603540551889,0.0133998895494439,0.0129625718335643,0.0813284468047546,0.020222112017034,NA
18,500,500,8,4,0.25,50,4.73157512515195,0.940478938825474,0.952857142857143,1.04675169348831,0.0131182902670129,0.0134768629894517,0.0964819495277019,0.0137071239808486,NA
19,500,500,8,4,1,50,5.99585929649386,1.28420130075899,0.953571428571429,1.09520200987029,0.0120212434672392,0.0126093624393405,0.0436983107557488,0.0139896430688544,NA
20,2000,200,8,4,0.25,50,5.70474372493912,0.859077799000465,0.955714285714286,1.05238469204992,0.00604460712286755,0.00618904083960566,0.255930571484857,0.0142818452816873,NA
21,2000,200,8,4,1,50,7.5347772642424,1.4085769346937,0.956428571428571,1.0238460168026,0.00652586539414383,0.00661746225646939,0.298198727030037,0.0459327384225754,NA
22,2000,500,8,4,0.25,50,5.96020894945716,1.43128235840865,0.949285714285714,0.969094045237844,0.00648349950332134,0.00637494579629349,0.162073733161388,0.0111981244801315,NA
23,2000,500,8,4,1,50,6.42918607435677,0.810310984556253,0.948571428571429,0.969707268455868,0.0066335430158008,0.00660396693153042,0.26788893887057,0.0261976962951661,NA
