"block","regime","metric","value"
"F3","weak","rule_sweeps_median",15
"F3","weak","rule_mse",0.000261667612867058
"F3","strong","rule_sweeps_median",50
"F3","strong","rule_mse",0.000558621943317992
"F1c","weak","V1_mse_paper",0.0471005367336568
"F1c","weak","V2_mse_paper",0.0286939499342404
"F1c","weak","V2_jk_mse_paper",0.0179062628347162
"F1c","weak","V3_mse_paper",0.0738103623206715
"F1c","weak","V3_jk_mse_paper",0.0564716855564494
"F1c","weak","V4_mse_paper",0.0200779689612125
"F1c","weak","V4_jk_mse_paper",0.0139583721937524
"F1c","weak","oracle_k5_mse_paper",0.000206372594528276
"F1c","weak","oracle_rule_mse_paper",0.000261667612867058
"F1c","strong","V1_mse_paper",0.0748778295197948
"F1c","strong","V2_mse_paper",0.0903948416012913
"F1c","strong","V2_jk_mse_paper",0.0533325897328705
"F1c","strong","V3_mse_paper",0.431807361399311
"F1c","strong","V3_jk_mse_paper",0.35242374036444
"F1c","strong","V4_mse_paper",0.0511931856521268
"F1c","strong","V4_jk_mse_paper",0.0339713947113857
"F1c","strong","oracle_k5_mse_paper",0.00211096565306187
"F1c","strong","oracle_rule_mse_paper",0.000558621943317992
"F1d","alpha_0.05","V2_mse_paper",0.0953865823711389
"F1d","alpha_0.10","V2_mse_paper",0.0932751019599296
"F1d","alpha_0.30","V2_mse_paper",0.0816073153958963
"F1d","alpha_1.00","V2_mse_paper",0.044655594709839
"F2","M500","rmse_jk",0.0241561013713116
"F2","M500","cov_entry_jk",0.94
"F2","M1000","rmse_jk",0.0236546794441347
"F2","M1000","cov_entry_jk",0.878333333333333
"F2","M2000","rmse_jk",0.0255274856923435
"F2","M2000","cov_entry_jk",0.706666666666667
"F2","M4000","rmse_jk",0.0242296686888774
"F2","M4000","cov_entry_jk",0.506666666666667
"F2","all","slope_jk",0.0209018362549188
"F2","all","slope_jk_lo",-0.0298161691787377
"F2","all","slope_jk_hi",0.0716198416885753
"F2L","L50","reduction",0.706353364378743
"F2L","L200","reduction",0.708527480386253
"F2L","L1000","reduction",1.00193481666506
"F4ii","M500","rmse_jk",0.329066788446321
"F4ii","M1000","rmse_jk",0.217519876552727
"F4ii","M2000","rmse_jk",0.124513508158402
