"estimator","rmse","rmse_norm","se_sd","cov_Bz0","cov_mean","bias_norm","se_med","sd_med","n_ok","b_max"
"baseline_std",0.0398500689533309,0.823825127042039,0.0662824961970676,0,0.111111111111111,0.0398494283308634,1.46630290181645e-05,0.000255301228233464,60,0.1
"proj",0.00599924237680234,0.124023037927819,0.992228814109953,0.952777777777778,0.954166666666667,0.00141311774181032,0.0061181042298062,0.00585591788594039,60,0.1
"onestep_uw",0.00665570804652082,0.137594229345026,0.982366917364099,0.952777777777778,0.948611111111111,0.00197198793959768,0.00651594145711577,0.00622498644597589,60,0.1
"onestep_mw",0.00665571555236655,0.137594384514251,0.982366992368446,0.952777777777778,0.948611111111111,0.00197200346108677,0.00651594454446928,0.00622498945565343,60,0.1
"baseline_std",0.112140890297692,0.927320685987231,0.148010288357243,0,0.25,0.112140661375714,3.78315718626153e-05,0.000253966105445349,60,0.25
"proj",0.00663814877034454,0.0548924897515987,1.04198701215987,0.927777777777778,0.948611111111111,0.00365296129200867,0.00613828792730422,0.00567917160499498,60,0.25
"onestep_uw",0.00685693639209724,0.0567016985687451,1.03629912771587,0.933333333333333,0.956944444444444,0.00319484938717833,0.00659113056436589,0.0062454555553341,60,0.25
"onestep_mw",0.00685696971568601,0.0567019741297212,1.03629926370071,0.933333333333333,0.956944444444444,0.00319491634227976,0.00659113476077167,0.00624546012765718,60,0.25
"baseline_std",0.233094060538113,0.963756144364234,0.239575066726862,0,0.375,0.233093948629097,6.16743629741527e-05,0.000258423683249045,60,0.5
"proj",0.0154992393512208,0.0640835168567865,0.996729112692106,0.559722222222222,0.955555555555556,0.0143553144033554,0.00635637157835666,0.00596707617451793,60,0.5
"onestep_uw",0.00746392752357468,0.030860528987002,1.02420130901543,0.929166666666667,0.95,0.00311443774188754,0.00703006117951299,0.006809627275,60,0.5
"onestep_mw",0.00746400873491307,0.0308608647652976,1.0242014811606,0.929166666666667,0.95,0.00311462955339958,0.0070300737664079,0.00680963735822513,60,0.5
"baseline_std",0.354014044472868,0.975809821907133,0.276191063384654,0,0.430555555555556,0.354013971715467,7.19353635028112e-05,0.000256440972461089,60,0.75
"proj",0.0384642417775045,0.106023434676407,1.10102162090612,0.140277777777778,0.975,0.0379801887295307,0.00643844641984513,0.00628358893757145,60,0.75
"onestep_uw",0.011670491675834,0.0321687248897749,0.966182736799318,0.8375,0.954166666666667,0.00813655501698316,0.00849310754465264,0.00859062987827105,60,0.75
"onestep_mw",0.0116703494012124,0.0321683327217937,0.96618235998208,0.8375,0.954166666666667,0.00813629294964782,0.00849314414231513,0.00859066542917449,60,0.75
"baseline_std",0.474929070311237,0.98182641074805,0.301146523993006,0,0.461111111111111,0.474929016512679,7.75613658878619e-05,0.000257914508680477,60,1
"proj",0.0776606131742138,0.160548692122304,1.15162410337369,0.00972222222222222,0.975,0.07737312075943,0.00696547472611846,0.0067659800791876,60,1
"onestep_uw",0.0230038655889195,0.0475561598486658,1.02415470222935,0.638888888888889,0.958333333333333,0.0206994206328834,0.0108350347224974,0.0113332980045921,60,1
"onestep_mw",0.023003281634606,0.0475549526330972,1.02415460059954,0.638888888888889,0.958333333333333,0.0206987290682485,0.0108350975015572,0.0113333562717428,60,1
"baseline_std",0.716815535556551,0.987920749208177,0.39390525332452,0,0.531944444444444,0.716815500163101,9.58621851965239e-05,0.000254530626344405,60,1.5
"proj",0.199094999922727,0.274394278207918,1.15969272945385,0,0.977777777777778,0.198899513099866,0.00911658121178376,0.00932756330573454,60,1.5
"onestep_uw",0.0797172175859633,0.109866889619195,0.949577845913416,0.248611111111111,0.944444444444444,0.0776514059876228,0.0183683672830272,0.0203754707177216,60,1.5
"onestep_mw",0.0797159392526019,0.109865127810209,0.949578165193693,0.248611111111111,0.944444444444444,0.0776500624656017,0.0183684879739355,0.0203756006262886,60,1.5
