"estimator","rmse","rmse_norm","se_sd","cov_Bz0","cov_mean","bias_norm","se_med","sd_med","n_ok","L"
"proj",0.0165235913053712,0.0683188263602756,1.09122251314771,0.733333333333333,0.960416666666667,0.0144299813132034,0.00917837278460308,0.00930059351792574,40,50
"onestep_uw",0.0324408333101717,0.134130626746973,1.06356799893704,0.525,0.947916666666667,0.0302432615733101,0.0136623887670609,0.0128433090815431,40,50
"onestep_mw",0.0324416552109723,0.134134024997211,1.06356965589906,0.525,0.947916666666667,0.0302441151158932,0.0136624991874934,0.0128433726100693,40,50
"proj",0.0154119412233003,0.0637225719790806,1.06089017312481,0.65,0.96875,0.0140261872147966,0.00740219730624999,0.00710003283911552,40,100
"onestep_uw",0.0142899335054924,0.059083492675365,0.992434750419027,0.79375,0.964583333333333,0.0116652680262088,0.00927040058855352,0.00881440081420812,40,100
"onestep_mw",0.0142902747435556,0.0590849035662273,0.9924349999835,0.79375,0.964583333333333,0.0116656758117646,0.00927043014134661,0.00881442726096934,40,100
"proj",0.0155031336460411,0.0640996182990643,1.02378644313817,0.558333333333333,0.954166666666667,0.0143532260162931,0.00634116041880915,0.00593966907006093,40,200
"onestep_uw",0.00751534453183263,0.0310731189496936,1.00899018784461,0.922916666666667,0.947916666666667,0.00328561799597047,0.00703078829297754,0.00692563585035803,40,200
"onestep_mw",0.00751543008992246,0.0310734727001691,1.00899023942662,0.922916666666667,0.947916666666667,0.00328581501154336,0.00703080070767083,0.00692564720368992,40,200
"proj",0.014838477760102,0.0613515165564334,1.011615923658,0.539583333333333,0.964583333333333,0.0138264186086498,0.00573657304974857,0.00557637234537228,40,400
"onestep_uw",0.00609753618371945,0.025211015454347,0.979342606674071,0.93125,0.945833333333333,0.00235153115921536,0.0059653449517084,0.00599528341910899,40,400
"onestep_mw",0.00609750327518457,0.0252108793899505,0.979342765747448,0.93125,0.945833333333333,0.00235141618336817,0.0059653514524262,0.00599529141894117,40,400
"proj",0.0149268252336645,0.0617168000831279,1.11876548319377,0.485416666666667,0.975,0.0141848555833666,0.00527379443722799,0.00459536134337104,40,1000
"onestep_uw",0.0062016416574593,0.025641452376451,1.07059561965064,0.920833333333333,0.972916666666667,0.00406328043251478,0.00527515467727419,0.00481953391265827,40,1000
"onestep_mw",0.00620152472793112,0.025640968916894,1.07059555049388,0.920833333333333,0.972916666666667,0.0040630892387473,0.00527515848581941,0.00481953783405004,40,1000
