"estimator","rmse","rmse_norm","se_sd","cov_Bz0","cov_mean","bias_norm","se_med","sd_med","n_ok","delta"
"proj",0.0155031336460411,0.0640996182990643,1.02378644313817,0.558333333333333,0.954166666666667,0.0143532260162931,0.00634116041880915,0.00593966907006093,40,0
"onestep_mw",0.00751543008992246,0.0310734727001691,1.00899023942662,0.922916666666667,0.947916666666667,0.00328581501154336,0.00703080070767083,0.00692564720368992,40,0
"proj",0.00717944479212296,0.0296843000441916,1.02386706266805,0.94375,0.95625,0.00292227193436019,0.00667195568473642,0.00627197145435572,40,0.05
"onestep_mw",0.0233849893929143,0.0966881230747984,0.999097588699373,0.414583333333333,0.947916666666667,0.0223301581822635,0.00774126863225733,0.00768867464337909,40,0.05
"proj",0.0123864108334544,0.0512131433971462,1.02170604508013,0.733333333333333,0.95625,0.0105589191409124,0.00700330723617278,0.0066084990018846,40,0.1
"onestep_mw",0.0446384553313332,0.184563199513471,0.981707541751752,0.23125,0.958333333333333,0.0439755210500597,0.00861250049407207,0.00861227207640973,40,0.1
"proj",0.0315536451400296,0.130462437826981,1.01012547479455,0.352083333333333,0.954166666666667,0.0307817483162901,0.00762423888665219,0.00724424903781401,40,0.2
"onestep_mw",0.0907017709808179,0.375017659762239,0.962397009935521,0.0708333333333333,0.95625,0.0901879236826404,0.0105222187310326,0.0109239819659988,40,0.2
"proj",0.0276078105378941,0.114147897964086,1.01439115952114,0.3875,0.9625,0.0266886207641071,0.00817874641028808,0.00773292703545441,40,0.4
"onestep_mw",0.115916368030932,0.479270521369335,0.88227754246354,0.0666666666666667,0.941666666666667,0.11529460889367,0.012411013309322,0.0132279419459975,40,0.4
"proj",0.185654376734533,0.767610920213744,1.23062259914839,0,0.95,0.185629943085732,0.00393534709422737,0.00325809120067095,40,0.8
"onestep_mw",0.179136504379012,0.740661973010567,1.24633904008002,0,0.9625,0.179109337625708,0.00412271155756807,0.00339594390020923,40,0.8
