"K","sigma_eps","MSE","Bound","Ratio","max_z"
3,0.05,2.91255796859821e-09,7.11109691735365e-06,0.000420104325235437,0.0850134921163741
3,0.1,2.8502460506309e-09,6.90056515122433e-06,0.000420980629956485,0.0839951958003695
3,0.2,2.90532278149615e-09,6.98606738701802e-06,0.000424281672236424,0.0844216405799098
3,0.3,2.88141627712364e-09,6.56725887109017e-06,0.000448655780925814,0.0821864967448335
3,0.5,2.81660739480565e-09,5.88405895584815e-06,0.000484103935897424,0.0785164111494387
3,0.8,2.64406902341641e-09,5.00630801012586e-06,0.000531865974567814,0.0732487564220558
5,0.05,2.42258594231814e-09,7.87227029208472e-06,0.000311805709208584,0.102057736888249
5,0.1,2.39073451731049e-09,8.55451793253983e-06,0.000286948653620998,0.105439534068978
5,0.2,2.39669582200418e-09,7.85015734171866e-06,0.000310856264295061,0.101887207195737
5,0.3,2.43354529227752e-09,8.34747143237674e-06,0.000299578648751019,0.104341168151091
5,0.5,2.38992283358001e-09,8.64842469547785e-06,0.000289916038808471,0.10557632553483
5,0.8,2.5454640792487e-09,8.01091843635317e-06,0.00032326267221244,0.102771759448414
10,0.05,9.34609078605922e-10,9.64994226142288e-06,0.000101275217980505,0.139078209838826
10,0.1,9.28401712529399e-10,1.16422218664136e-05,8.58056804630235e-05,0.148785373681171
10,0.2,9.32727261329307e-10,1.11182751623586e-05,8.70780763862408e-05,0.147155957822305
10,0.3,9.49233064379709e-10,1.166572677605e-05,8.37597071126445e-05,0.149981202916672
10,0.5,1.0005995501722e-09,1.49122300315318e-05,6.81033765891504e-05,0.165059215346179
10,0.8,1.13299200673535e-09,1.48539624232643e-05,7.8768855534297e-05,0.164330970793191
